pos,player_name,seed,tag,country
1,"ALCARAZ, Carlos",1,,ESP
2,"BAEZ, Sebastian",,,ARG
3,"BERGS, Zizou",,,BEL
4,"TABILO, Alejandro",,,CHI
5,"THOMPSON, Jordan",,,AUS
6,"NAKASHIMA, Brandon",,,USA
7,"FUCSOVICS, Marton",,Q,HUN
8,"TIAFOE, Frances",8,,USA
9,"RUUD, Casper",4,,NOR
10,"MOCHIZUKI, Shintaro",,WC,JPN
11,"MUNAR, Jaume",,,ESP
12,"BERRETTINI, Matteo",,,ITA
13,"DZUMHUR, Damir",,,BIH
14,"VUKIC, Aleksandar",,Q,AUS
15,"ALTMAIER, Daniel",,,GER
16,"SHAPOVALOV, Denis",7,,CAN
17,"HUMBERT, Ugo",6,,FRA
18,"BROOKSBY, Jenson",,PR,USA
19,"NISHIOKA, Yoshihito",,WC,JPN
20,"DARDERI, Luciano",,,ITA
21,"MICHELSEN, Alex",,,USA
22,"QUINN, Ethan",,Q,USA
23,"MEDJEDOVIC, Hamad",,,SRB
24,"RUNE, Holger",3,,DEN
25,"MACHAC, Tomas",5,,CZE
26,"SHIMABUKURO, Sho",,Q,JPN
27,"GIRON, Marcos",,,USA
28,"KORDA, Sebastian",,,USA
29,"WATANUKI, Yosuke",,WC,JPN
30,"BORGES, Nuno",,,POR
31,"DIALLO, Gabriel",,,CAN
32,"FRITZ, Taylor",2,,USA
5,"Machac, Tomas 22",,,
6,"Humbert, Ugo 24",,,
7,"Shapovalov, Denis 26",,,
8,"Tiafoe, Frances 29",,,
